theme,folder,image_id,file,original_filename,original_width,original_height,published_width,published_height
wetland-park,01_source_model,camera_1,images/01_source_model/wetland-park_camera_1.jpg,01_pavilion.png,1505,856,1505,856
wetland-park,01_source_model,camera_2,images/01_source_model/wetland-park_camera_2.jpg,02_WET LAND.png,1505,856,1505,856
wetland-park,01_source_model,camera_3,images/01_source_model/wetland-park_camera_3.jpg,03_nature play.png,1505,856,1505,856
urban-riverfront,01_source_model,camera_1,images/01_source_model/urban-riverfront_camera_1.jpg,sketchup1.png,1552,866,1552,866
urban-riverfront,01_source_model,camera_2,images/01_source_model/urban-riverfront_camera_2.jpg,sketchup2.png,1543,876,1543,876
urban-riverfront,01_source_model,camera_3,images/01_source_model/urban-riverfront_camera_3.jpg,sketchup3.png,1545,847,1545,847
prairie-equestrian,01_source_model,camera_1,images/01_source_model/prairie-equestrian_camera_1.jpg,Camera 01_Forest Trail.jpg,2185,1255,1920,1103
prairie-equestrian,01_source_model,camera_2,images/01_source_model/prairie-equestrian_camera_2.jpg,Camera 02_Native Prairie.jpg,2185,1255,1920,1103
prairie-equestrian,01_source_model,camera_3,images/01_source_model/prairie-equestrian_camera_3.jpg,Camera 03_Under Pavilion.jpg,2185,1255,1920,1103
residential-neighborhood,01_source_model,camera_1,images/01_source_model/residential-neighborhood_camera_1.jpg,Sketchup_1.jpg,1707,879,1707,879
residential-neighborhood,01_source_model,camera_2,images/01_source_model/residential-neighborhood_camera_2.jpg,Sketchup_2.png,1920,1080,1920,1080
residential-neighborhood,01_source_model,camera_3,images/01_source_model/residential-neighborhood_camera_3.jpg,Sketchup_3.png,1920,1080,1920,1080
sports-complex,01_source_model,camera_1,images/01_source_model/sports-complex_camera_1.jpg,RHINO_1png.png,1505,939,1505,939
sports-complex,01_source_model,camera_2,images/01_source_model/sports-complex_camera_2.jpg,RHINO_2.png,1498,970,1498,970
sports-complex,01_source_model,camera_3,images/01_source_model/sports-complex_camera_3.jpg,RHINO_3.png,1635,1035,1635,1035
wetland-park,03_sketchup_diffusion,SUD_1_1,images/03_sketchup_diffusion/wetland-park_SUD_1_1.jpg,su1_1.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_1_2,images/03_sketchup_diffusion/wetland-park_SUD_1_2.jpg,su1_2.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_1_3,images/03_sketchup_diffusion/wetland-park_SUD_1_3.jpg,su1_3.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_1_4,images/03_sketchup_diffusion/wetland-park_SUD_1_4.jpg,su1_4.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_1_5,images/03_sketchup_diffusion/wetland-park_SUD_1_5.jpg,su1_5.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_2_1,images/03_sketchup_diffusion/wetland-park_SUD_2_1.jpg,su2_1.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_2_2,images/03_sketchup_diffusion/wetland-park_SUD_2_2.jpg,su2_2.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_2_3,images/03_sketchup_diffusion/wetland-park_SUD_2_3.jpg,su2_3.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_2_4,images/03_sketchup_diffusion/wetland-park_SUD_2_4.jpg,su2_4.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_2_5,images/03_sketchup_diffusion/wetland-park_SUD_2_5.jpg,su2_5.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_3_1,images/03_sketchup_diffusion/wetland-park_SUD_3_1.jpg,su3_1.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_3_2,images/03_sketchup_diffusion/wetland-park_SUD_3_2.jpg,su3_2.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_3_3,images/03_sketchup_diffusion/wetland-park_SUD_3_3.jpg,su3_3.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_3_4,images/03_sketchup_diffusion/wetland-park_SUD_3_4.jpg,su3_4.png,1768,1120,1768,1120
wetland-park,03_sketchup_diffusion,SUD_3_5,images/03_sketchup_diffusion/wetland-park_SUD_3_5.jpg,su3_5.png,1768,1120,1768,1120
urban-riverfront,03_sketchup_diffusion,SUD_1_1,images/03_sketchup_diffusion/urban-riverfront_SUD_1_1.jpg,SD_1_1.png,2088,952,1920,875
